date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:05:24	108/108	---MCZ	200	added ('OK')	text/plain	etag:W/%22118cd124da2cd1c6b45bec395c3d3313%22	https://huly.io/robots.txt		(from )
04:05:29	240548/240548	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2003:30:27%20GMT	https://huly.io/	C:/My%20Web%20Sites/huly-try/huly.io/index.html	(from )
04:05:29	32820/32820	---M--	200	added ('OK')	font/woff2	etag:%22fd956df8b33975f77b0e88909849bdea%22	https://huly.io/_next/static/media/14d7ce3e41dcbb66-s.p.woff2	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/media/14d7ce3e41dcbb66-s.p.woff2	(from https://huly.io/)
04:05:30	44228/44228	---M--	200	added ('OK')	font/woff2	etag:%22d470bab50fb335d7e4513bf31ba4e89b%22	https://huly.io/_next/static/media/c92e08b531692979-s.p.woff2	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/media/c92e08b531692979-s.p.woff2	(from https://huly.io/)
04:05:32	33600/33600	---M--	200	added ('OK')	font/woff2	etag:%22d21d425f7a353c4cce04e019ca5b3219%22	https://huly.io/_next/static/media/e8b276476c0ac6fa-s.p.woff2	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/media/e8b276476c0ac6fa-s.p.woff2	(from https://huly.io/)
04:05:32	48432/48432	---M--	200	added ('OK')	font/woff2	etag:%22965e823d8927b50483a06fe58fd25643%22	https://huly.io/_next/static/media/e4af272ccee01ff0-s.p.woff2	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/media/e4af272ccee01ff0-s.p.woff2	(from https://huly.io/)
04:05:33	996/996	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e657b281abbf699f317e6a7d1aabebd4%22	https://huly.io/_next/static/media/d97ea0940c0302a26ddd7c1b56cf3346.svg	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/media/d97ea0940c0302a26ddd7c1b56cf3346.svg	(from https://huly.io/)
04:05:33	3516/3516	---MCZ	200	added ('OK')	text/css	etag:W/%22a2b81b7175681d70d3d634d5b1ef286e%22	https://huly.io/_next/static/css/a041dcbcef8326ab.css	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/css/a041dcbcef8326ab.css	(from https://huly.io/)
04:05:33	114537/114537	---MCZ	200	added ('OK')	text/css	etag:W/%22fa5ddea1ebf70ab001d0dc0c790ce3e1%22	https://huly.io/_next/static/css/2cfc5f73f17d6511.css	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/css/2cfc5f73f17d6511.css	(from https://huly.io/)
04:05:33	4192/4192	---MCZ	200	added ('OK')	application/javascript	etag:W/%224b3d22a2fbe8175da40575f660824580%22	https://huly.io/_next/static/chunks/webpack-9fd23c718d92c148.js	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/chunks/webpack-9fd23c718d92c148.js	(from https://huly.io/)
04:05:34	172834/172834	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f556fc46c174daf6e2a8894fad2136b5%22	https://huly.io/_next/static/chunks/fd9d1056-42441f306eea77fa.js	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/chunks/fd9d1056-42441f306eea77fa.js	(from https://huly.io/)
04:05:35	34020/34020	---M--	200	added ('OK')	font/woff2	etag:%22929a1d89df7334821344afdfd37a2f6f%22	https://huly.io/_next/static/media/1b0b3615811be75b-s.p.woff2	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/media/1b0b3615811be75b-s.p.woff2	(from https://huly.io/)
04:05:36	649/649	---MCZ	200	added ('OK')	application/javascript	etag:W/%2231ceb8d320ead3cae8f783db85866977%22	https://huly.io/_next/static/chunks/main-app-d0abb3f3fa358037.js	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/chunks/main-app-d0abb3f3fa358037.js	(from https://huly.io/)
04:05:37	102993/102993	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f2b29e1fe6c6078b27d8257bd8d15624%22	https://huly.io/_next/static/chunks/bf76e631-fe71f9cc7512529d.js	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/chunks/bf76e631-fe71f9cc7512529d.js	(from https://huly.io/)
04:05:37	78182/78182	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c8d2861ca1b5e5b771f29ea396e06cf0%22	https://huly.io/_next/static/chunks/7708-ae8753c083736f6c.js	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/chunks/7708-ae8753c083736f6c.js	(from https://huly.io/)
04:05:37	123668/123668	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dfdeb0e78627f2de914d717534c651f1%22	https://huly.io/_next/static/chunks/3526-fad9e2c696deb3dc.js	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/chunks/3526-fad9e2c696deb3dc.js	(from https://huly.io/)
04:05:37	23022/23022	---MCZ	200	added ('OK')	application/javascript	etag:W/%223ed928bd582f37d1f5f11e7483f540cf%22	https://huly.io/_next/static/chunks/658-cb0ba4330187c238.js	C:/My%20Web%20Sites/huly-try/huly.io/_next/static/chunks/658-cb0ba4330187c238.js	(from https://huly.io/)
